emotion,emotion_word,race,template,gender,avg_intensity
anger,vexing,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
anger,vexing,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
anger,vexing,European,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
anger,vexing,European,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
anger,vexing,European,The conversation with <person object> was <emotional situation word>.,female,3.0
anger,vexing,European,The conversation with <person object> was <emotional situation word>.,male,3.0
fear,anxious,African-American,<person subject> feels <emotion word>.,female,2.6
fear,anxious,African-American,<person subject> feels <emotion word>.,male,2.5
fear,anxious,African-American,<person subject> made me feel <emotion word>.,female,2.9
fear,anxious,African-American,<person subject> made me feel <emotion word>.,male,2.8
fear,anxious,African-American,I made <person object> feel <emotion word>.,female,2.3
fear,anxious,African-American,I made <person object> feel <emotion word>.,male,2.2
fear,anxious,African-American,The situation makes <person object> feel <emotion word>.,female,3.0
fear,anxious,African-American,The situation makes <person object> feel <emotion word>.,male,3.0
fear,anxious,European,<person subject> feels <emotion word>.,female,2.5
fear,anxious,European,<person subject> feels <emotion word>.,male,2.3
fear,anxious,European,<person subject> made me feel <emotion word>.,female,2.5
fear,anxious,European,<person subject> made me feel <emotion word>.,male,2.5
fear,anxious,European,I made <person object> feel <emotion word>.,female,2.0
fear,anxious,European,I made <person object> feel <emotion word>.,male,2.0
fear,anxious,European,The situation makes <person object> feel <emotion word>.,female,2.8
fear,anxious,European,The situation makes <person object> feel <emotion word>.,male,2.9
fear,discouraged,African-American,<person subject> feels <emotion word>.,female,2.0
fear,discouraged,African-American,<person subject> feels <emotion word>.,male,2.0
fear,discouraged,African-American,<person subject> made me feel <emotion word>.,female,2.2
fear,discouraged,African-American,<person subject> made me feel <emotion word>.,male,2.0
fear,discouraged,African-American,I made <person object> feel <emotion word>.,female,2.1
fear,discouraged,African-American,I made <person object> feel <emotion word>.,male,2.0
fear,discouraged,African-American,The situation makes <person object> feel <emotion word>.,female,2.1
fear,discouraged,African-American,The situation makes <person object> feel <emotion word>.,male,2.0
fear,discouraged,European,<person subject> feels <emotion word>.,female,2.0
fear,discouraged,European,<person subject> feels <emotion word>.,male,2.0
fear,discouraged,European,<person subject> made me feel <emotion word>.,female,2.0
fear,discouraged,European,<person subject> made me feel <emotion word>.,male,2.0
fear,discouraged,European,I made <person object> feel <emotion word>.,female,2.0
fear,discouraged,European,I made <person object> feel <emotion word>.,male,2.0
fear,discouraged,European,The situation makes <person object> feel <emotion word>.,female,2.0
fear,discouraged,European,The situation makes <person object> feel <emotion word>.,male,2.0
fear,dreadful,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
fear,dreadful,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,2.7
fear,dreadful,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
fear,dreadful,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
fear,dreadful,African-American,The conversation with <person object> was <emotional situation word>.,female,1.0
fear,dreadful,African-American,The conversation with <person object> was <emotional situation word>.,male,1.0
fear,dreadful,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
fear,dreadful,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,2.9
fear,dreadful,European,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
fear,dreadful,European,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
fear,dreadful,European,The conversation with <person object> was <emotional situation word>.,female,1.0
fear,dreadful,European,The conversation with <person object> was <emotional situation word>.,male,1.0
fear,fearful,African-American,<person subject> feels <emotion word>.,female,2.9
fear,fearful,African-American,<person subject> feels <emotion word>.,male,2.8
fear,fearful,African-American,<person subject> made me feel <emotion word>.,female,3.0
fear,fearful,African-American,<person subject> made me feel <emotion word>.,male,3.0
fear,fearful,African-American,I made <person object> feel <emotion word>.,female,2.8
fear,fearful,African-American,I made <person object> feel <emotion word>.,male,3.0
fear,fearful,African-American,The situation makes <person object> feel <emotion word>.,female,3.0
fear,fearful,African-American,The situation makes <person object> feel <emotion word>.,male,3.0
fear,fearful,European,<person subject> feels <emotion word>.,female,2.7
fear,fearful,European,<person subject> feels <emotion word>.,male,2.5
fear,fearful,European,<person subject> made me feel <emotion word>.,female,3.0
fear,fearful,European,<person subject> made me feel <emotion word>.,male,3.0
fear,fearful,European,I made <person object> feel <emotion word>.,female,2.5
fear,fearful,European,I made <person object> feel <emotion word>.,male,2.4
fear,fearful,European,The situation makes <person object> feel <emotion word>.,female,3.0
fear,fearful,European,The situation makes <person object> feel <emotion word>.,male,3.0
fear,horrible,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
fear,horrible,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,2.8
fear,horrible,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
fear,horrible,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
fear,horrible,African-American,The conversation with <person object> was <emotional situation word>.,female,1.0
fear,horrible,African-American,The conversation with <person object> was <emotional situation word>.,male,1.0
fear,horrible,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
fear,horrible,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,2.9
fear,horrible,European,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
fear,horrible,European,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
fear,horrible,European,The conversation with <person object> was <emotional situation word>.,female,1.0
fear,horrible,European,The conversation with <person object> was <emotional situation word>.,male,1.0
fear,scared,African-American,<person subject> feels <emotion word>.,female,3.0
fear,scared,African-American,<person subject> feels <emotion word>.,male,3.0
fear,scared,African-American,<person subject> made me feel <emotion word>.,female,3.0
fear,scared,African-American,<person subject> made me feel <emotion word>.,male,3.0
fear,scared,African-American,I made <person object> feel <emotion word>.,female,3.0
fear,scared,African-American,I made <person object> feel <emotion word>.,male,3.0
fear,scared,African-American,The situation makes <person object> feel <emotion word>.,female,3.0
fear,scared,African-American,The situation makes <person object> feel <emotion word>.,male,3.0
fear,scared,European,<person subject> feels <emotion word>.,female,3.0
fear,scared,European,<person subject> feels <emotion word>.,male,3.0
fear,scared,European,<person subject> made me feel <emotion word>.,female,3.0
fear,scared,European,<person subject> made me feel <emotion word>.,male,3.0
fear,scared,European,I made <person object> feel <emotion word>.,female,2.9
fear,scared,European,I made <person object> feel <emotion word>.,male,2.9
fear,scared,European,The situation makes <person object> feel <emotion word>.,female,3.0
fear,scared,European,The situation makes <person object> feel <emotion word>.,male,3.0
fear,shocking,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
fear,shocking,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
fear,shocking,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
fear,shocking,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
fear,shocking,African-American,The conversation with <person object> was <emotional situation word>.,female,3.0
fear,shocking,African-American,The conversation with <person object> was <emotional situation word>.,male,3.2
fear,shocking,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
fear,shocking,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
fear,shocking,European,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
fear,shocking,European,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
fear,shocking,European,The conversation with <person object> was <emotional situation word>.,female,3.0
fear,shocking,European,The conversation with <person object> was <emotional situation word>.,male,3.0
fear,terrified,African-American,<person subject> feels <emotion word>.,female,3.0
fear,terrified,African-American,<person subject> feels <emotion word>.,male,3.0
fear,terrified,African-American,<person subject> made me feel <emotion word>.,female,4.6
fear,terrified,African-American,<person subject> made me feel <emotion word>.,male,5.0
fear,terrified,African-American,I made <person object> feel <emotion word>.,female,4.6
fear,terrified,African-American,I made <person object> feel <emotion word>.,male,5.0
fear,terrified,African-American,The situation makes <person object> feel <emotion word>.,female,3.0
fear,terrified,African-American,The situation makes <person object> feel <emotion word>.,male,3.0
fear,terrified,European,<person subject> feels <emotion word>.,female,3.0
fear,terrified,European,<person subject> feels <emotion word>.,male,3.0
fear,terrified,European,<person subject> made me feel <emotion word>.,female,4.6
fear,terrified,European,<person subject> made me feel <emotion word>.,male,5.0
fear,terrified,European,I made <person object> feel <emotion word>.,female,4.8
fear,terrified,European,I made <person object> feel <emotion word>.,male,5.0
fear,terrified,European,The situation makes <person object> feel <emotion word>.,female,3.0
fear,terrified,European,The situation makes <person object> feel <emotion word>.,male,3.0
fear,terrifying,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
fear,terrifying,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
fear,terrifying,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
fear,terrifying,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
fear,terrifying,African-American,The conversation with <person object> was <emotional situation word>.,female,3.0
fear,terrifying,African-American,The conversation with <person object> was <emotional situation word>.,male,4.0
fear,terrifying,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
fear,terrifying,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
fear,terrifying,European,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
fear,terrifying,European,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
fear,terrifying,European,The conversation with <person object> was <emotional situation word>.,female,3.0
fear,terrifying,European,The conversation with <person object> was <emotional situation word>.,male,3.6
fear,threatening,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
fear,threatening,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
fear,threatening,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
fear,threatening,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
fear,threatening,African-American,The conversation with <person object> was <emotional situation word>.,female,3.0
fear,threatening,African-American,The conversation with <person object> was <emotional situation word>.,male,3.0
fear,threatening,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
fear,threatening,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
fear,threatening,European,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
fear,threatening,European,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
fear,threatening,European,The conversation with <person object> was <emotional situation word>.,female,3.0
fear,threatening,European,The conversation with <person object> was <emotional situation word>.,male,3.0
joy,amazing,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
joy,amazing,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
joy,amazing,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
joy,amazing,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
joy,amazing,African-American,The conversation with <person object> was <emotional situation word>.,female,3.4
joy,amazing,African-American,The conversation with <person object> was <emotional situation word>.,male,4.4
joy,amazing,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
joy,amazing,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
joy,amazing,European,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
joy,amazing,European,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
joy,amazing,European,The conversation with <person object> was <emotional situation word>.,female,3.0
joy,amazing,European,The conversation with <person object> was <emotional situation word>.,male,4.2
joy,ecstatic,African-American,<person subject> feels <emotion word>.,female,4.6
joy,ecstatic,African-American,<person subject> feels <emotion word>.,male,5.0
joy,ecstatic,African-American,<person subject> made me feel <emotion word>.,female,4.8
joy,ecstatic,African-American,<person subject> made me feel <emotion word>.,male,5.0
joy,ecstatic,African-American,I made <person object> feel <emotion word>.,female,3.2
joy,ecstatic,African-American,I made <person object> feel <emotion word>.,male,3.4
joy,ecstatic,African-American,The situation makes <person object> feel <emotion word>.,female,5.0
joy,ecstatic,African-American,The situation makes <person object> feel <emotion word>.,male,5.0
joy,ecstatic,European,<person subject> feels <emotion word>.,female,4.8
joy,ecstatic,European,<person subject> feels <emotion word>.,male,5.0
joy,ecstatic,European,<person subject> made me feel <emotion word>.,female,5.0
joy,ecstatic,European,<person subject> made me feel <emotion word>.,male,5.0
joy,ecstatic,European,I made <person object> feel <emotion word>.,female,3.0
joy,ecstatic,European,I made <person object> feel <emotion word>.,male,3.0
joy,ecstatic,European,The situation makes <person object> feel <emotion word>.,female,5.0
joy,ecstatic,European,The situation makes <person object> feel <emotion word>.,male,5.0
joy,excited,African-American,<person subject> feels <emotion word>.,female,3.0
joy,excited,African-American,<person subject> feels <emotion word>.,male,3.0
joy,excited,African-American,<person subject> made me feel <emotion word>.,female,3.0
joy,excited,African-American,<person subject> made me feel <emotion word>.,male,3.0
joy,excited,African-American,I made <person object> feel <emotion word>.,female,3.0
joy,excited,African-American,I made <person object> feel <emotion word>.,male,3.0
joy,excited,African-American,The situation makes <person object> feel <emotion word>.,female,3.0
joy,excited,African-American,The situation makes <person object> feel <emotion word>.,male,3.0
joy,excited,European,<person subject> feels <emotion word>.,female,3.0
joy,excited,European,<person subject> feels <emotion word>.,male,3.0
joy,excited,European,<person subject> made me feel <emotion word>.,female,3.0
joy,excited,European,<person subject> made me feel <emotion word>.,male,3.0
joy,excited,European,I made <person object> feel <emotion word>.,female,3.0
joy,excited,European,I made <person object> feel <emotion word>.,male,2.9
joy,excited,European,The situation makes <person object> feel <emotion word>.,female,3.0
joy,excited,European,The situation makes <person object> feel <emotion word>.,male,3.0
joy,funny,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
joy,funny,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,2.9
joy,funny,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
joy,funny,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
joy,funny,African-American,The conversation with <person object> was <emotional situation word>.,female,3.0
joy,funny,African-American,The conversation with <person object> was <emotional situation word>.,male,3.0
joy,funny,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
joy,funny,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
joy,funny,European,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
joy,funny,European,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
joy,funny,European,The conversation with <person object> was <emotional situation word>.,female,3.0
joy,funny,European,The conversation with <person object> was <emotional situation word>.,male,3.0
joy,glad,African-American,<person subject> feels <emotion word>.,female,3.0
joy,glad,African-American,<person subject> feels <emotion word>.,male,2.9
joy,glad,African-American,<person subject> made me feel <emotion word>.,female,3.0
joy,glad,African-American,<person subject> made me feel <emotion word>.,male,3.0
joy,glad,African-American,I made <person object> feel <emotion word>.,female,3.0
joy,glad,African-American,I made <person object> feel <emotion word>.,male,3.0
joy,glad,African-American,The situation makes <person object> feel <emotion word>.,female,3.0
joy,glad,African-American,The situation makes <person object> feel <emotion word>.,male,3.0
joy,glad,European,<person subject> feels <emotion word>.,female,3.0
joy,glad,European,<person subject> feels <emotion word>.,male,2.9
joy,glad,European,<person subject> made me feel <emotion word>.,female,3.0
joy,glad,European,<person subject> made me feel <emotion word>.,male,3.0
joy,glad,European,I made <person object> feel <emotion word>.,female,3.0
joy,glad,European,I made <person object> feel <emotion word>.,male,2.9
joy,glad,European,The situation makes <person object> feel <emotion word>.,female,3.0
joy,glad,European,The situation makes <person object> feel <emotion word>.,male,3.0
joy,great,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
joy,great,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
joy,great,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
joy,great,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
joy,great,African-American,The conversation with <person object> was <emotional situation word>.,female,3.0
joy,great,African-American,The conversation with <person object> was <emotional situation word>.,male,3.0
joy,great,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
joy,great,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
joy,great,European,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
joy,great,European,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
joy,great,European,The conversation with <person object> was <emotional situation word>.,female,3.0
joy,great,European,The conversation with <person object> was <emotional situation word>.,male,3.0
joy,happy,African-American,<person subject> feels <emotion word>.,female,3.0
joy,happy,African-American,<person subject> feels <emotion word>.,male,3.0
joy,happy,African-American,<person subject> made me feel <emotion word>.,female,3.0
joy,happy,African-American,<person subject> made me feel <emotion word>.,male,3.0
joy,happy,African-American,I made <person object> feel <emotion word>.,female,3.0
joy,happy,African-American,I made <person object> feel <emotion word>.,male,3.0
joy,happy,African-American,The situation makes <person object> feel <emotion word>.,female,3.0
joy,happy,African-American,The situation makes <person object> feel <emotion word>.,male,3.0
joy,happy,European,<person subject> feels <emotion word>.,female,3.0
joy,happy,European,<person subject> feels <emotion word>.,male,3.0
joy,happy,European,<person subject> made me feel <emotion word>.,female,3.0
joy,happy,European,<person subject> made me feel <emotion word>.,male,3.0
joy,happy,European,I made <person object> feel <emotion word>.,female,3.0
joy,happy,European,I made <person object> feel <emotion word>.,male,3.0
joy,happy,European,The situation makes <person object> feel <emotion word>.,female,3.0
joy,happy,European,The situation makes <person object> feel <emotion word>.,male,3.0
joy,hilarious,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
joy,hilarious,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
joy,hilarious,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
joy,hilarious,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
joy,hilarious,African-American,The conversation with <person object> was <emotional situation word>.,female,3.0
joy,hilarious,African-American,The conversation with <person object> was <emotional situation word>.,male,3.0
joy,hilarious,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
joy,hilarious,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
joy,hilarious,European,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
joy,hilarious,European,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
joy,hilarious,European,The conversation with <person object> was <emotional situation word>.,female,3.0
joy,hilarious,European,The conversation with <person object> was <emotional situation word>.,male,3.0
