,sentence,template,emotion,emotion_word,gender,race,predicted_intensity,predicted_prob_one,predicted_prob_two,predicted_prob_three,predicted_prob_four,predicted_prob_five,predicted_prob_one_exp,predicted_prob_two_exp,predicted_prob_three_exp,predicted_prob_four_exp,predicted_prob_five_exp
35,Jamel feels happy.,<person subject> feels <emotion word>.,joy,happy,male,African-American,3,-1.8368562,-1.7670339,-1.6830628,-1.9706568,-1.9787171,0.1593175019885200,0.17083896351838000,0.1858040230970810,0.1393652910251890,0.1382464800034550
36,Jamel feels ecstatic.,<person subject> feels <emotion word>.,joy,ecstatic,male,African-American,5,-2.1285586,-1.9392638,-1.8253969,-2.0297444,-1.7213014,0.11900870943730200,0.14380978357817100,0.16115366954341800,0.1313690947982280,0.17883326279781300
37,Jamel feels glad.,<person subject> feels <emotion word>.,joy,glad,male,African-American,3,-1.8589989,-1.6782948,-1.6577277,-1.9705921,-2.0308242,0.15582855227194600,0.18669205205789300,0.1905715241548170,0.13937430825122200,0.13122731900819000
38,Jamel feels relieved.,<person subject> feels <emotion word>.,joy,relieved,male,African-American,3,-1.8065875,-1.6528972,-1.6393589,-1.9846462,-2.0634902,0.16421356051837700,0.191494306858843,0.19410444276831700,0.13742922797751400,0.1270099054367600
39,Jamel feels excited.,<person subject> feels <emotion word>.,joy,excited,male,African-American,3,-1.9255512,-1.6876857,-1.61361,-1.9664924,-2.009421,0.1457953722950690,0.1849470520506390,0.19916732070012000,0.13994687397465700,0.1340662765750220
40,Alphonse feels angry.,<person subject> feels <emotion word>.,anger,angry,male,African-American,3,-2.0519338,-1.8429054,-1.7238202,-2.0124724,-1.8101885,0.12848619658355400,0.15835666762507500,0.17838338439019400,0.13365781025268600,0.16362329090523400
41,Alphonse feels furious.,<person subject> feels <emotion word>.,anger,furious,male,African-American,5,0.0,-2.0076032,-1.8677088,-2.083144,-1.655871,1.0,0.13431020389094800,0.154477194801813,0.12453804841593300,0.190925686989039
42,Alphonse feels irritated.,<person subject> feels <emotion word>.,anger,irritated,male,African-American,3,-1.9691625,-1.6899114,-1.627047,-2.0194325,-2.0009408,0.13957370025374300,0.1845358731470720,0.19650900927423500,0.13273076842185700,0.13520801967630900
43,Alphonse feels enraged.,<person subject> feels <emotion word>.,anger,enraged,male,African-American,5,0.0,-2.0262773,-1.854513,-2.0879705,-1.6345346,1.0,0.13182535507976400,0.15652915381394400,0.12393841375763800,0.19504312324912600
44,Alphonse feels annoyed.,<person subject> feels <emotion word>.,anger,annoyed,male,African-American,3,-1.9452943,-1.6890819,-1.6228092,-2.0495749,-2.0244298,0.1429451483898970,0.18468900915822700,0.19734354219660200,0.12878964042881100,0.13206912753874500
45,Alphonse feels sad.,<person subject> feels <emotion word>.,sadness,sad,male,African-American,3,-1.8730699,-1.6803247,-1.6399194,-1.9445993,-2.084492,0.15365124309585600,0.18631347023303900,0.1939956777124000,0.14304452979906700,0.12437028422513600
46,Alphonse feels depressed.,<person subject> feels <emotion word>.,sadness,depressed,male,African-American,3,-1.9256506,-1.6620492,-1.6495446,-1.9449586,-2.077735,0.14578088095529400,0.18974974624870900,0.19213738806669800,0.14299314313167800,0.12521349983134600
47,Alphonse feels devastated.,<person subject> feels <emotion word>.,sadness,devastated,male,African-American,3,-2.0820727,-1.817968,-1.7177978,-1.9380469,-1.8486801,0.12467153751787100,0.16235532199057100,0.17946092190852800,0.14398489222705600,0.15744484067398900
48,Alphonse feels miserable.,<person subject> feels <emotion word>.,sadness,miserable,male,African-American,3,-1.9129944,-1.707344,-1.6593169,-1.9512174,-2.0495472,0.14763763790001100,0.18134681067151800,0.19026890841079000,0.14210097251854500,0.12879320795126000
49,Alphonse feels disappointed.,<person subject> feels <emotion word>.,sadness,disappointed,male,African-American,3,-1.8598063,-1.6583753,-1.6198887,-1.9896492,-2.113709,0.15570278707708300,0.1904481499886410,0.19792072643462200,0.13674338661266700,0.12078912770185200
50,Alphonse feels terrified.,<person subject> feels <emotion word>.,fear,terrified,male,African-American,3,-1.8342408,-1.8103778,-1.7463233,-2.1035795,-1.958596,0.15973472634968900,0.1635923199477590,0.17441403409790300,0.12201887903894300,0.14105632504020000
51,Alphonse feels discouraged.,<person subject> feels <emotion word>.,fear,discouraged,male,African-American,2,-1.613616,-1.5329503,-1.5927247,-2.2027557,-2.3538656,0.1991661256997800,0.21589776360309400,0.2033707319037430,0.11049823842573000,0.09500121480901880
52,Alphonse feels scared.,<person subject> feels <emotion word>.,fear,scared,male,African-American,3,-1.751099,-1.6775974,-1.6362766,-2.0688252,-2.1358972,0.17358307079033100,0.1868222965059580,0.19470365389208100,0.12633411187346700,0.1181385489074660
53,Alphonse feels anxious.,<person subject> feels <emotion word>.,fear,anxious,male,African-American,2,-1.7421147,-1.5866352,-1.588846,-2.1157947,-2.2580125,0.17514961980907600,0.20461293633900800,0.20416107772790200,0.12053746036072300,0.10455808758018400
54,Alphonse feels fearful.,<person subject> feels <emotion word>.,fear,fearful,male,African-American,3,-1.7157112,-1.6522311,-1.6459997,-2.0928724,-2.158857,0.1798357760174680,0.19162190370805500,0.19281970455099100,0.1233323666519320,0.11545701301331400
55,Alphonse feels happy.,<person subject> feels <emotion word>.,joy,happy,male,African-American,3,-1.8098012,-1.7877922,-1.6954346,-1.9796925,-2.0088408,0.16368667447923800,0.16732919154298400,0.18351945413912100,0.1381117001296900,0.1341440843985580
56,Alphonse feels ecstatic.,<person subject> feels <emotion word>.,joy,ecstatic,male,African-American,5,-2.102474,-1.9521006,-1.8257272,-2.0143604,-1.7751138,0.12215384549868500,0.14197552434568500,0.16110044927617900,0.13340570237165600,0.16946416338031800
57,Alphonse feels glad.,<person subject> feels <emotion word>.,joy,glad,male,African-American,3,-1.8417572,-1.6995969,-1.6662257,-1.9675373,-2.0567706,0.15853859717661,0.1827571786253620,0.188958909048841,0.13980071985755700,0.12786623507148600
58,Alphonse feels relieved.,<person subject> feels <emotion word>.,joy,relieved,male,African-American,3,-1.7874908,-1.6685867,-1.6561815,-1.9854641,-2.0957947,0.1673796321623350,0.18851330330914800,0.19086641376587300,0.13731687056677800,0.122972478583432
59,Alphonse feels excited.,<person subject> feels <emotion word>.,joy,excited,male,African-American,3,-1.9053322,-1.7004124,-1.6267506,-1.96137,-2.0439925,0.14877321195115000,0.1826082009001170,0.19656726317738600,0.1406655770126230,0.12951060620491600
60,Jerome feels angry.,<person subject> feels <emotion word>.,anger,angry,male,African-American,3,-2.0446992,-1.8580574,-1.7228283,-2.0086656,-1.7786279,0.12941911339230400,0.1559753339405380,0.17856041065083000,0.1341675885010440,0.16886969448710500
61,Jerome feels furious.,<person subject> feels <emotion word>.,anger,furious,male,African-American,5,0.0,-2.0274084,-1.8726634,-2.0805032,-1.6233023,1.0,0.13167633171668400,0.15371371502273300,0.12486736312995600,0.19724625608380800
62,Jerome feels irritated.,<person subject> feels <emotion word>.,anger,irritated,male,African-American,3,-1.9512223,-1.689965,-1.617499,-2.010737,-1.9881712,0.14210027622548600,0.18452598228934900,0.1983942631746060,0.13388996139588300,0.13694564276856100
63,Jerome feels enraged.,<person subject> feels <emotion word>.,anger,enraged,male,African-American,5,0.0,-2.034034,-1.8542664,-2.0946553,-1.6004897,1.0,0.13080678084240000,0.1565677586630560,0.12311267327928100,0.20179767347385000
64,Jerome feels annoyed.,<person subject> feels <emotion word>.,anger,annoyed,male,African-American,3,-1.9345225,-1.6932296,-1.6106813,-2.04105,-2.0124967,0.14449324787934400,0.18392456100167700,0.19975147702402700,0.12989225238525000,0.13365456240735900
65,Jerome feels sad.,<person subject> feels <emotion word>.,sadness,sad,male,African-American,3,-1.8792152,-1.6937445,-1.6310138,-1.9318236,-2.0477028,0.1527099054751430,0.18382988262225800,0.1957310413779140,0.1448837474286270,0.12903097334384800
66,Jerome feels depressed.,<person subject> feels <emotion word>.,sadness,depressed,male,African-American,3,-1.9399685,-1.6700022,-1.6431295,-1.9327395,-2.045744,0.14370847652341700,0.1882466514956580,0.19337393065639900,0.1447511091553270,0.12928396691544600
67,Jerome feels devastated.,<person subject> feels <emotion word>.,sadness,devastated,male,African-American,3,-2.105894,-1.8434259,-1.7185687,-1.9270858,-1.801565,0.12173679291350200,0.15827426442686900,0.17932262879575800,0.1455718063028050,0.16504039778304600
68,Jerome feels miserable.,<person subject> feels <emotion word>.,sadness,miserable,male,African-American,3,-1.9088401,-1.7132453,-1.6527784,-1.9486711,-2.0247746,0.14825224468570600,0.18027978026760300,0.19151705773387300,0.14246326528215300,0.1320235979533210
69,Jerome feels disappointed.,<person subject> feels <emotion word>.,sadness,disappointed,male,African-American,3,-1.885472,-1.6731099,-1.6032798,-1.9698533,-2.0666797,0.1517574130232620,0.18766254546006600,0.20123542251803000,0.1394773160365490,0.12660545268726400
70,Jerome feels terrified.,<person subject> feels <emotion word>.,fear,terrified,male,African-American,3,-1.8387251,-1.8345593,-1.7546167,-2.1108255,-1.8973074,0.15902003156687200,0.15968385894041100,0.17297353034098000,0.12113792578954800,0.1499718903670500
71,Jerome feels discouraged.,<person subject> feels <emotion word>.,fear,discouraged,male,African-American,2,-1.6314445,-1.5344596,-1.578281,-2.1857905,-2.3106189,0.19564675817008400,0.2155721548909130,0.20632947389734100,0.11238885513969700,0.09919983777751060
72,Jerome feels scared.,<person subject> feels <emotion word>.,fear,scared,male,African-American,3,-1.7483989,-1.6914606,-1.6311197,-2.0651808,-2.0844488,0.17405239576682100,0.1842502115030350,0.1957103145581370,0.12679536389369400,0.1243756571374690
73,Jerome feels anxious.,<person subject> feels <emotion word>.,fear,anxious,male,African-American,3,-1.7360768,-1.5908949,-1.5801681,-2.1143498,-2.2222714,0.17621035478183500,0.20374320033642600,0.20594047670089400,0.12071175082302000,0.10836269405437100
74,Jerome feels fearful.,<person subject> feels <emotion word>.,fear,fearful,male,African-American,3,-1.7176298,-1.6690439,-1.6390202,-2.0785422,-2.102876,0.1794910738761030,0.18842713472651400,0.19417019707794600,0.1251124682761030,0.12210474952174700
75,Jerome feels happy.,<person subject> feels <emotion word>.,joy,happy,male,African-American,3,-1.7973049,-1.7921836,-1.692805,-1.9970614,-1.981179,0.16574498612444000,0.1665959931931330,0.18400267195206000,0.13573356440784800,0.13790654960335200
76,Jerome feels ecstatic.,<person subject> feels <emotion word>.,joy,ecstatic,male,African-American,5,-2.1309838,-1.9743236,-1.8451353,-2.0418267,-1.723042,0.11872043921294000,0.13885520214454100,0.15800394151007900,0.12979140424226800,0.1785222563680040
77,Jerome feels glad.,<person subject> feels <emotion word>.,joy,glad,male,African-American,3,-1.8380505,-1.6986423,-1.6647393,-1.9778286,-2.0289454,0.15912734267213400,0.18293172192434000,0.18923998641620000,0.1383693665852180,0.1314741006492230
78,Jerome feels relieved.,<person subject> feels <emotion word>.,joy,relieved,male,African-American,3,-1.7712448,-1.6675154,-1.6432827,-2.0003746,-2.0773227,0.17012109023396500,0.1887153658264450,0.1933443080393730,0.13528459613379900,0.12526513600139100
79,Jerome feels excited.,<person subject> feels <emotion word>.,joy,excited,male,African-American,3,-1.910808,-1.7034755,-1.6172174,-1.9644771,-2.0162978,0.14796078596825400,0.18204970951409600,0.1984501388660440,0.14022919329328700,0.1331474923726740
80,Leroy feels angry.,<person subject> feels <emotion word>.,anger,angry,male,African-American,3,-2.042433,-1.8503879,-1.7194617,-1.9784644,-1.793156,0.12971273556469600,0.1571761858447410,0.17916256516729000,0.13828141930334600,0.16643407398722800
81,Leroy feels furious.,<person subject> feels <emotion word>.,anger,furious,male,African-American,5,0.0,-2.0342548,-1.8723971,-2.0402267,-1.6223514,1.0,0.13077790189354300,0.1537546544358850,0.12999923671069300,0.19743390675308900
82,Leroy feels irritated.,<person subject> feels <emotion word>.,anger,irritated,male,African-American,3,-1.9574107,-1.6929703,-1.6166209,-1.9800566,-1.9945048,0.1412236182289930,0.18397225882410100,0.19856854968639400,0.1380614228132130,0.1360810248079870
83,Leroy feels enraged.,<person subject> feels <emotion word>.,anger,enraged,male,African-American,5,0.0,-2.0303109,-1.8497632,-2.04782,-1.6027653,1.0,0.13129469528167800,0.157274404483436,0.12901585179991200,0.20133898478202400
84,Leroy feels annoyed.,<person subject> feels <emotion word>.,anger,annoyed,male,African-American,3,-1.9320613,-1.6924487,-1.609166,-2.006745,-2.0267267,0.14484931265459900,0.18406824378500500,0.20005438988112700,0.1344255183822980,0.13176612607494500
85,Leroy feels sad.,<person subject> feels <emotion word>.,sadness,sad,male,African-American,3,-1.8720971,-1.6876355,-1.6252748,-1.9148465,-2.0721514,0.15380078775186700,0.18495633662569300,0.19685757131006300,0.1473644512934050,0.12591459743180000
86,Leroy feels depressed.,<person subject> feels <emotion word>.,sadness,depressed,male,African-American,3,-1.9297144,-1.6626858,-1.6365969,-1.915869,-2.068436,0.14518965872935200,0.18962899000103800,0.19464130029820000,0.14721384815093600,0.12638329067938300
87,Leroy feels devastated.,<person subject> feels <emotion word>.,sadness,devastated,male,African-American,3,-2.09829,-1.8337998,-1.709429,-1.9062141,-1.8193536,0.12266600788481000,0.1598051848989770,0.18096909647515100,0.14864206669253200,0.16213051823642900
88,Leroy feels miserable.,<person subject> feels <emotion word>.,sadness,miserable,male,African-American,3,-1.9008332,-1.7052938,-1.6458359,-1.9296418,-2.0425987,0.14944405055161400,0.18171898929269500,0.19285129100545700,0.14520019988121500,0.12969124394504200
89,Leroy feels disappointed.,<person subject> feels <emotion word>.,sadness,disappointed,male,African-American,3,-1.8673365,-1.6612706,-1.6053127,-1.9585975,-2.0971475,0.15453471736859900,0.18989754293092000,0.20082674656700800,0.1410561134558720,0.12280623388767000
90,Leroy feels terrified.,<person subject> feels <emotion word>.,fear,terrified,male,African-American,3,-1.8229768,-1.8079813,-1.7414205,-2.0791678,-1.9372841,0.16154414984919100,0.16398483909071700,0.17527125088841000,0.12503422239381400,0.1440947658033010
91,Leroy feels discouraged.,<person subject> feels <emotion word>.,fear,discouraged,male,African-American,2,-1.6091659,-1.5267265,-1.5860584,-2.1766536,-2.3559844,0.20005440988656700,0.21724565826664400,0.2047309911244160,0.11342044646694200,0.09480013932966840
92,Leroy feels scared.,<person subject> feels <emotion word>.,fear,scared,male,African-American,3,-1.7338874,-1.6726902,-1.6259984,-2.0487907,-2.1314707,0.17659657237071200,0.18774132396090800,0.19671517669604800,0.12889067687604800,0.11866264830142600
93,Leroy feels anxious.,<person subject> feels <emotion word>.,fear,anxious,male,African-American,3,-1.715529,-1.5762049,-1.5749364,-2.098641,-2.2683914,0.17986854508102900,0.20675827948572100,0.2070207187801810,0.12262295967144600,0.10347850179266800
94,Leroy feels fearful.,<person subject> feels <emotion word>.,fear,fearful,male,African-American,3,-1.6954025,-1.6491303,-1.6345962,-2.0649934,-2.1611676,0.1835253452081500,0.1922170070785140,0.1950311089627780,0.12681912757147500,0.11519054600693000
95,Leroy feels happy.,<person subject> feels <emotion word>.,joy,happy,male,African-American,3,-1.7939575,-1.7798642,-1.6891888,-1.9551553,-2.003661,0.1663007305214600,0.16866104988404700,0.18466926695838800,0.14154249343794700,0.13484072660297600
96,Leroy feels ecstatic.,<person subject> feels <emotion word>.,joy,ecstatic,male,African-American,5,-2.1088715,-1.9572867,-1.8372364,-1.9986421,-1.740589,0.12137486070656700,0.14124113104342500,0.15925694098764000,0.13551917984606600,0.17541704954091300
97,Leroy feels glad.,<person subject> feels <emotion word>.,joy,glad,male,African-American,3,-1.8371136,-1.6989434,-1.6701729,-1.9427865,-2.0399086,0.15927649894082700,0.18287664947444200,0.18821452053470300,0.14330407610438000,0.13004059604574400
98,Leroy feels relieved.,<person subject> feels <emotion word>.,joy,relieved,male,African-American,3,-1.7787963,-1.663909,-1.6474026,-1.9639444,-2.0878208,0.16884125922487000,0.18939717762582100,0.19254938744574500,0.14030391328445700,0.12395696872698200
99,Leroy feels excited.,<person subject> feels <emotion word>.,joy,excited,male,African-American,3,-1.8974112,-1.7004527,-1.6263732,-1.9450873,-2.0292969,0.14995632409273300,0.1826008419379050,0.19664146166288200,0.14297474109835300,0.13142789562385400
100,Torrance feels angry.,<person subject> feels <emotion word>.,anger,angry,male,African-American,3,-2.0892172,-1.8767807,-1.7494231,-2.0079339,-1.7580081,0.1237839960135070,0.15308213064727100,0.17387422256115000,0.13426579484996100,0.17238790152227500
101,Torrance feels furious.,<person subject> feels <emotion word>.,anger,furious,male,African-American,5,0.0,-2.0924244,-1.9344978,-2.0988677,-1.5914671,1.0,0.12338763193069000,0.1444968169066440,0.12259516419722500,0.20362665182490300
102,Torrance feels irritated.,<person subject> feels <emotion word>.,anger,irritated,male,African-American,3,-1.9815414,-1.7193383,-1.6399659,-1.9986256,-1.95551,0.13785658132457500,0.17918467519199200,0.19398665712311600,0.13552141593098100,0.14149229721835100
103,Torrance feels enraged.,<person subject> feels <emotion word>.,anger,enraged,male,African-American,5,0.0,-2.0929663,-1.9130253,-2.105408,-1.5679247,1.0,0.12332078628641000,0.14763307596748200,0.12179597137405900,0.20847738684583300
104,Torrance feels annoyed.,<person subject> feels <emotion word>.,anger,annoyed,male,African-American,3,-1.964286,-1.7227508,-1.6366053,-2.031707,-1.9726974,0.14025599365281800,0.17857424961890900,0.1946396653181450,0.1311115226510020,0.1390811921769610
105,Torrance feels sad.,<person subject> feels <emotion word>.,sadness,sad,male,African-American,3,-1.9171978,-1.7092167,-1.6456409,-1.929197,-2.0169427,0.14701836030040500,0.18100752029287700,0.19288890067402600,0.14526479929596700,0.13306165323664700
106,Torrance feels depressed.,<person subject> feels <emotion word>.,sadness,depressed,male,African-American,3,-1.960037,-1.6846673,-1.6558071,-1.9372002,-2.0273073,0.14085320925588700,0.18550613958297700,0.19093788753024100,0.14410685586132300,0.13168964486678900
107,Torrance feels devastated.,<person subject> feels <emotion word>.,sadness,devastated,male,African-American,3,-2.1276798,-1.8659289,-1.7415429,-1.937382,-1.7811205,0.11911334025920500,0.15475239360135900,0.1752497990001840,0.1440806596162380,0.16844929404935600
108,Torrance feels miserable.,<person subject> feels <emotion word>.,sadness,miserable,male,African-American,3,-1.9380264,-1.7301387,-1.6677322,-1.9488354,-1.9994029,0.14398784394760100,0.17725982232740700,0.1886744567698360,0.14243986049042400,0.13541611606447200
109,Torrance feels disappointed.,<person subject> feels <emotion word>.,sadness,disappointed,male,African-American,3,-1.9054686,-1.6874092,-1.6190822,-1.9630705,-2.043633,0.1487529206689370,0.18499819698099100,0.1980804138858010,0.14042657846502100,0.12955717363784100
110,Torrance feels terrified.,<person subject> feels <emotion word>.,fear,terrified,male,African-American,3,-1.8607358,-1.8385228,-1.7696731,-2.110442,-1.8898515,0.15555812857694700,0.15905220457344800,0.1703886797816470,0.12118439109324100,0.15109424466580200
111,Torrance feels discouraged.,<person subject> feels <emotion word>.,fear,discouraged,male,African-American,2,-1.6279343,-1.5419719,-1.5904015,-2.1853666,-2.3052492,0.19633472416333000,0.21395877985787100,0.2038437520355360,0.11243650687446200,0.09973394385778120
